scenario,zone_area_ha,zone_area_increase_percent,monitored_property_count,monitored_property_area_ha,slaughter_volume_coverage_percent,farm_movement_received_coverage_percent
current_CA_direct,15060123.81734935,2.4736119992389166e-14,117,656487.5453256356,55.06848563036974,54.106914317592626
pathway_1_add_CA_tier1,15836804.79244268,5.157201790058275,131,723373.0240667892,60.7742490369923,59.91861648016277
pathway_2_add_non_CA_direct,24610921.181254923,63.41778779337129,170,935398.7784711445,78.28634953748181,78.25506732736083
pathway_3_all_direct_and_tier1,24636895.54767074,63.59025892794387,170,935398.7784711445,78.28634953748181,78.25506732736083
