zone_type_a,zone_type_b,intersection_ha,percent_of_a,percent_of_b,jaccard_percent
CA_direct,CA_tier1_indirect,1448491.1943649782,12.01727826022571,57.81218501979391,11.048391910411906
CA_direct,non_CA_direct,5098404.227913621,42.29845685517587,43.28615528385809,27.215624486475082
CA_direct,non_CA_tier1_indirect,1589223.5428750874,13.18485166270157,80.6502251979026,12.78055938931667
CA_tier1_indirect,non_CA_direct,1813225.7579717445,72.36947204810225,15.394536842437672,14.53993677208703
CA_tier1_indirect,non_CA_tier1_indirect,915140.988850396,36.52510997128324,46.44175274744019,25.699822994905592
non_CA_direct,non_CA_tier1_indirect,1465059.9536615494,12.438561130000343,74.34914724298157,11.926740563403296
