file,source_type,fictitious,sha256,description
biomass_carbon_2018.tif,synthetic_authoritative_input,True,53d57d5f9ac5a625023fab6ff383d4bbc0c54ccf867d9d98865e9baa7d1fc94d,Fictitious biomass-carbon-density raster.
geography_source.json,synthetic_authoritative_input,True,87a2052de5c29e10ec351f8b163ae075ec54a82bab8b163215d302d40f674077,Synthetic input.
gta_properties.csv,synthetic_authoritative_input,True,fe3bd4b4deff6d86b9485b0f97a23369ec448a602d0d92cd4867edb63fe9a86c,Fictitious GTA establishment attributes.
gta_transactions.csv,synthetic_authoritative_input,True,d86fa54cdce0c69a6454d2c2332afcad2cc25ac297c23d9843bb5be4ac753495,Fictitious cattle movements.
land_use_2018.tif,synthetic_authoritative_input,True,b80a8cd904f47d7613b06e0a79e0f853b0096096b0b3c43e11a752ee36496d06,Fictitious categorical land-use raster.
synthetic_inputs.gpkg,synthetic_authoritative_input,True,e8cc8bfb1551219249b50716e095b2b1250f9a6c97b4fddbb517ec110140fcb2,Vector study layers and synthetic entities.
synthetic_linkage_truth.csv,synthetic_authoritative_input,True,7f45632883aae89db0813461706cc87f67b5b6e10719a2479250d74bb5353399,Known record-linkage truth for QA only.
